"DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C"
"2023-08-05,18,14,23,14,16,18,0.6,74,10,1020,68.375,18,13,14,113,176,176,0,5,10.4,météo défavorable,21:24:00,06:29:00,14"
"2023-08-06,19,14,24,14,18,19,0.3,77,10,1021,81.375,19,11,12,119,122,119,0,4,10.4,météo défavorable,21:22:00,06:30:00,14"
"2023-08-07,21,12,12,12,19,21,0,86,10,1021,43.75,21,11,11,113,119,113,0,5,11.4,météo correcte,21:21:00,06:31:00,12"
"2023-08-08,22,13,13,13,21,22,0.3,83,10,1020,55.875,24,13,14,119,119,116,0,5,10.3,météo correcte,21:19:00,06:33:00,14"
"2023-08-09,23,15,9,15,22,23,0.2,89,10,1021,49.125,25,14,15,116,176,113,0,4,11.4,météo favorable,21:17:00,06:34:00,17"
"2023-08-10,27,16,13,16,25,27,0.1,88,10,1021,22.625,27,15,16,113,116,113,0,6,13.5,météo favorable,21:16:00,06:36:00,16"
"2023-08-11,28,18,12,18,26,26,2.9,66,10,1020,40.25,29,19,18,113,116,299,0,6,11.3,météo favorable,21:14:00,06:37:00,19"
"2023-08-12,26,19,18,20,22,25,2.6,95,9.875,1020,65,26,19,20,299,122,113,0,5,12.4,météo défavorable,21:12:00,06:38:00,20"
"2023-08-13,23,17,13,17,23,23,0,75,10,1019,50.5,25,13,17,116,122,116,0,5,13.4,météo correcte,21:10:00,06:40:00,18"
"2023-08-14,28,17,17,17,26,27,0,58,10,1016,36,29,16,17,116,113,119,0,6,13.4,météo favorable,21:09:00,06:41:00,17"
"2023-08-15,25,18,10,18,24,25,0.5,71,10,1018,50.625,26,15,18,113,176,122,0,5,11.3,météo favorable,21:07:00,06:43:00,19"
"2023-08-16,27,16,10,16,24,27,0.1,70,10,1020,34.375,27,16,16,116,116,116,0,6,14.5,météo favorable,21:05:00,06:44:00,17"
"2023-08-17,28,17,10,17,25,28,0,91,9.75,1018,53.125,29,18,17,119,116,116,0,5,13.4,météo favorable,21:03:00,06:45:00,19"
"2023-08-18,31,19,8,19,25,31,0.4,85,10,1014,51.25,32,19,19,119,119,116,0,6,11.3,météo correcte,21:01:00,06:47:00,20"
"2023-08-19,28,22,13,23,24,28,0.3,72,10,1020,43.25,28,18,23,116,176,113,0,6,10.5,météo favorable,20:59:00,06:48:00,24"
"2023-08-20,30,18,8,19,27,29,0,75,10,1022,27.375,30,17,19,113,113,116,0,6,10.5,météo idéale,20:57:00,06:50:00,19"
"2023-08-21,28,18,10,18,25,28,0,60,10,1024,14.75,28,13,18,113,113,113,0,6,11.6,météo idéale,20:55:00,06:51:00,19"
"2023-08-22,30,18,8,19,27,30,0,61,10,1021,16.625,30,16,19,113,113,113,0,6,11.6,météo idéale,20:53:00,06:53:00,20"
"2023-08-23,31,18,9,18,27,31,0,63,10,1021,5.875,30,15,18,113,113,113,0,6,11.6,météo idéale,20:52:00,06:54:00,19"
"2023-08-24,29,21,19,21,27,29,6.9,89,9.875,1017,54.625,31,21,21,119,119,113,0,7,8.1,météo correcte,20:50:00,06:55:00,22"
"2023-08-25,23,17,17,19,22,22,0.2,92,9.875,1013,80.875,25,19,19,176,122,119,0,5,7,météo défavorable,20:48:00,06:57:00,20"
"2023-08-26,23,15,20,15,22,23,0,65,10,1013,30.75,24,10,14,113,116,116,0,5,11.6,météo favorable,20:46:00,06:58:00,16"
"2023-08-27,20,13,17,13,20,20,0.1,80,10,1014,46.375,20,11,12,113,119,116,0,4,9.2,météo correcte,20:44:00,07:00:00,15"
"2023-08-28,23,14,13,14,21,20,0.1,81,10,1015,47.625,24,12,14,116,176,116,0,5,10.4,météo favorable,20:42:00,07:01:00,14"
"2023-08-29,21,12,12,12,21,21,0,82,10,1014,33.875,24,10,12,113,119,116,0,5,9.1,météo correcte,20:40:00,07:03:00,13"
"2023-08-30,22,13,15,13,19,21,0.1,76,10,1012,44.875,24,12,13,119,176,113,0,5,9.1,météo favorable,20:37:00,07:04:00,14"
"2023-08-31,18,12,12,12,17,16,0.1,78,10,1014,66,18,15,12,116,122,176,0,5,6.7,météo défavorable,20:35:00,07:05:00,13"
